problem_text,answer,answer_type,standard_code,grade_level,difficulty,hints,solution_steps,topic,source_reference,license
"What is 5 × 7?","35","integer","4.OA.A.1","4","1","Think of 5 groups of 7|Count by 5s seven times","5 × 7 = 35","Multiplicative Comparisons","Public Domain","public_domain"
"If Sarah has 4 times as many stickers as Tom, and Tom has 6 stickers, how many stickers does Sarah have?","24","integer","4.OA.A.1","4","2","'4 times as many' means multiply|Multiply Tom's stickers by 4","Sarah has 4 × 6 stickers|4 × 6 = 24","Multiplicative Comparisons","Public Domain","public_domain"
"Write a multiplication equation: 28 is 4 times as many as 7","28 = 4 × 7","expression","4.OA.A.1","4","2","What number times 7 equals 28?|4 times 7 equals 28","28 = 4 × 7","Multiplicative Comparisons","Public Domain","public_domain"
"A blue ribbon is 3 times as long as a red ribbon. The red ribbon is 8 inches. How long is the blue ribbon?","24","integer","4.OA.A.2","4","2","'3 times as long' means multiply by 3|Multiply 8 by 3","Blue = 3 × red|Blue = 3 × 8 = 24 inches","Word Problems with Comparisons","Public Domain","public_domain"
"Marcus has 5 times as many cards as Julia. Julia has 12 cards. How many cards does Marcus have?","60","integer","4.OA.A.2","4","2","Multiply Julia's cards by 5|5 × 12","Marcus = 5 × Julia|Marcus = 5 × 12 = 60 cards","Word Problems with Comparisons","Public Domain","public_domain"
"A tree is 6 times as tall as a bush. The bush is 4 feet tall. How tall is the tree?","24","integer","4.OA.A.2","4","2","Multiply the bush height by 6|6 × 4","Tree = 6 × bush|Tree = 6 × 4 = 24 feet","Word Problems with Comparisons","Public Domain","public_domain"
"List all the factors of 24","1, 2, 3, 4, 6, 8, 12, 24","expression","4.OA.B.4","4","3","Start with 1 and the number itself|Check which numbers divide evenly|Work through 2, 3, 4...","24 ÷ 1 = 24, so 1 and 24 are factors|24 ÷ 2 = 12, so 2 and 12 are factors|24 ÷ 3 = 8, so 3 and 8 are factors|24 ÷ 4 = 6, so 4 and 6 are factors|Factors: 1, 2, 3, 4, 6, 8, 12, 24","Factors and Multiples","Public Domain","public_domain"
"Is 17 prime or composite?","prime","expression","4.OA.B.4","4","2","Check if any number besides 1 and 17 divides it|Try 2, 3, 4...|If none work, it's prime","17 ÷ 2 = 8.5 (not whole)|17 ÷ 3 = 5.67 (not whole)|17 ÷ 4 = 4.25 (not whole)|No factors besides 1 and 17, so prime","Factors and Multiples","Public Domain","public_domain"
"Is 15 prime or composite?","composite","expression","4.OA.B.4","4","2","Check if any number divides 15 evenly|Try 3 and 5","15 ÷ 3 = 5 (whole number)|15 has factors besides 1 and 15|15 is composite","Factors and Multiples","Public Domain","public_domain"
"What is 4,567 + 2,845?","7412","integer","4.NBT.B.4","4","2","Line up the digits by place value|Add from right to left|Regroup when needed","7 + 5 = 12, write 2 carry 1|6 + 4 + 1 = 11, write 1 carry 1|5 + 8 + 1 = 14, write 4 carry 1|4 + 2 + 1 = 7|Answer: 7,412","Multi-digit Addition","Public Domain","public_domain"
